Вівторок,вівторок
дискусія,дискусія
У,у
Прикінцевих,прикінцев
положеннях,положення
є,бути
відповідний,відповідний
абзац,абзац
де,де
пр,пр.
описано,описати
що,що
звільнення,звільнення
таких,такий
військовослужбовців,військовослужбовець
з,з
військової,військовий
служби,служба
здійснюється,здійснюватися
за,за
бажанням,бажання
військовослужбовця,військовослужбовця
у,у
строки,строк
та,та
обсягах,обсяг
визначених,визначений
центральними,центральний
органами,орган
виконавчої,виконавчий
влади,влада
які,який
відповідно,відповідно
до,до
закону,закон
здійснюють,здійснюють
керівництво,керівництво
військовими,військовий
формува,формува
ннями,нни
не,не
пізніше,пізніше
двох,два
років,рік
з,з
дня,день
набрання,набрання
чинності,чинність
цим,цей
законом,закон
Що,що
це,це
значить,значити
Безумовно,безумовно
логіка,логіка
тут,тут
була,бути
Щоб,щоб
не,не
було,бути
на,на
вали,вали
загалом,загалом
щоб,щоб
25,25
тисяч,тисяча
військовослужбовців,військовослужбовець
одночасно,одночасно
не,не
пішли,піти
зі,зі
служби,служба
не,не
оголили,оголили
фронт,фронт
була,бути
ідея,ідея
встановити,встановити
строки,строк
що,що
не,не
перевищують,перевищувати
два,два
роки,рік
з,з
дня,день
набрання,набрання
чинності,чинність
цим,цей
законом,закон
Але,але
31,31
я,я
погоджуюся,погоджуватися
із,із
колегами,колега
з,з
фракції,фракція
Батьківщина,батьківщина
що,що
треба,треба
цей,цей
строк,строк
скоротити,скоротит
до,до
одного,один
року,рік
Тому,тому
від,від
комітету,комітет
вношу,вни
під,під
стенограму,стенограм
поправку,поправка
не,не
пізніше,пізніше
двох,два
років,рік
ГОЛОВУЮЧИЙ,головуючий
Будь,бути
ласка,ласка
секундочку,секундочка
ВІННИК,вінник
І,і
Ю,Ю
з,з
дня,день
набрання,набрання
чинності,чинність
цим,цей
Законом,закон
замінити,замінити
на,на
ГОЛОВУЮЧИЙ,головуючий
Я,я
просив,просити
вас,ви
почекати,почекат
секундочку,секундочка
Я,я
додаю,дода
одну,один
хвилину,хвилина
а,а
ви,ви
чітко,чітко
сформулюйте,сформулюйте
під,під
стенограму,стенограм
пропозицію,пропозиція
до,до
нашого,наш
закону,закон
І,і
я,я
прошу,просити
вас,ви
озвучити,озвучити
чи,чи
з,з
цією,цей
поправкою,поправка
ми,ми
може,могти
мо,мо
проголосувати,проголосувати
в,в
цілому,ціле
Будь,бути
ласка,ласка
озвучте,озвучте
Ваш,ваш
мікрофон,мікрофон
увімкнений,увімкнений
ви,ви
маєте,мати
хвилину,хвилина
щоб,щоб
сформулю,сформуля
вати,вата
пропозицію,пропозиція
ВІННИК,вінник
І,і
Ю,Ю
Останній,останній
абзац,абзац
пункту,пункт
2,2
Прикінцевих,прикінцев
поло,поло
жень,жень
зараз,зараз
викладено,викласти
в,в
такій,такий
редакції,редакція
Звільнення,звільнення
таких,такий
військово,військово
службовців,службовець
з,з
військової,військовий
служби,служба
здійснюється,здійснюватися
за,за
бажанням,бажання
військово,військово
службовця,службовець
у,у
строки,строк
та,та
обсягах,обсяг
визначених,визначений
центральним,центральний
и,и
орган,орган
ами,ма
виконавчої,виконавчий
влади,влада
які,який
відповідно,відповідно
до,до
закону,закон
здійснюють,здійснюють
керівництво,керівництво
військовими,військовий
формуваннями,формування
не,не
пізніше,пізніше
двох,два
років,рік
з,з
дня,день
набран,набран
ня,ня
чин,чин
ності,ність
цим,цей
Законом,закон
Пропоную,пропонува
слова,слово
двох,два
років,рік
замінити,замінити
словами,слово
одного,один
року,рік
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Тепер,тепер
автор,автор
другого,другий
законопроекту,законопроект
Альона,альона
Шкрум,шкрум
Чи,чи
ви,ви
згодні,згодні
із,із
такою,такий
поправкою,поправка
Будь,бути
ласка,ласка
1,1
хвилину,хвилина
ШКРУМ,шкрун
А,а
І,і
Друзі,друг
я,я
дякую,дякувати
вам,ви
за,за
таку,такий
конст,конст
руктивну,руктивна
диску,диск
сію,сія
тому,тому
хочу,хотіти
зняти,зняти
свій,свій
законопроект,законопроект
І,і
дійсно,дійсно
давайте,давати
проголосує,проголосує
мо,мо
перший,перший
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Колеги,Колеги
а,а
я,я
хочу,хотіти
запитати,запитати
в,в
комітету,комітет
і,і
в,в
залу,зал
а,а
ми,ми
не,не
можемо,могти
в,в
цілому,ціле
проголосувати,проголосувати
його,його
32,32
ГОЛОСИ,голос
ІЗ,ІЗ
ЗАЛ,зал
У,у
Можемо,можемо
Так,так
ГОЛОВУЮЧИЙ,головуючий
Можемо,можемо
З,з
цією,цей
п,п.
оправкою,оправка
Колеги,Колеги
я,я
прошу,просити
всіх,весь
зайняти,зайняти
робочі,робоча
місця,місце
підготуватися,підготуватися
до,до
голосування,голосування
Я,я
прошу,просити
всіх,весь
зайти,зайти
до,до
залу,зал
Це,це
відповідальне,відповідальний
голосу,голос
вання,вання
відповідальний,відповідальний
законопроект,законопроект
Я,я
прошу,просити
покликати,покликати
до,до
залу,зал
і,і
представників,представник
фракцій,фракція
і,і
представників,представник
А,а
парату,парат
Отже,отже
колеги,колега
я,я
ставлю,ставель
на,на
голосування,голосування
пропозицію,пропозиція
про,про
прийнят,прийнят
тя,тя
за,за
основу,основа
і,і
в,в
цілому,ціле
проекту,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
деяких,деякий
законодавчих,законодавчий
актів,акт
України,Україна
щодо,щодо
удосконалення,удосконалення
порядку,порядок
проходжен,проходжен
ня,ня
військової,військовий
служби,служба
№,№
5337,5337
з,з
поправкою,поправка
яку,який
озвучив,озвучив
під,під
стено,стено
граму,гра
представник,представник
комітету,комітет
депутат,депутат
Вінник,вінник
Прошу,прош
проголосувати,проголосувати
Прошу,прош
підтримати,підтримати
За,за
239,239
Рішення,рішення
прийнято,прийнято
Закон,закон
прийнято,прийнято
Дякую,дякувати
за,за
конструктивну,конструктивна
дискусію,дискусія
Це,це
був,бути
важливий,важливий
крок,крок
парла,парла
менту,мент
Символічно,символічно
що,що
він,він
відбувся,відбутися
у,у
День,день
Збройних,збройний
Сил,сила
–––––––––,––––––
Отже,отже
шановні,шановня
колеги,колега
переходимо,переходий
до,до
наступного,наступний
проекту,проект
зако,зако
ну,ну
№,№
2504а,2504а
депутатський,депутатський
який,який
розглядається,розглядається
в,в
другому,другий
читанні,читання
Це,це
проект,проект
Закону,закон
Про,про
Єдиний,єдиний
державний,державний
реєстр,реєстр
військовозобов’яза,військовозобов’яза
них,вони
Поправок,поправок
невелика,невеликий
кількість,кількість
Я,я
прошу,просити
всіх,весь
не,не
розходитис,розходитис
я,я
за-,за-
лишатися,лишатися
в,в
залі,зал
Запрошую,запрошуй
до,до
доповіді,доповід
голову,голова
підкомітету,підкомітет
Комітету,комітет
з,з
питань,питання
національної,національний
безпеки,безпека
і,і
оборони,оборона
Пастуха,пастуха
Тараса,Тарас
Тимофійовича,Тимофійович
Будь,бути
ласка,ласка
пане,пане
Тарасе,тарасе
ПАСТУХ,пастува
Т,т
Т,т
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
нац,нац
іональної,іональна
безпеки,безпека
і,і
оборони,оборона
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
163,163
Тернопільська,тернопільська
область,область
самовисуванець,самовисуванець
Ша,ша
новні,новень
колеги,колега
в,в
даному,даний
законопроекті,законопроект
комітетом,комітет
фактично,фактично
враховані,врахований
всі,весь
поправки,поправки
про,про
які,який
говорилося,говорилося
в,в
залі,зал
і,і
які,який
стосуються,стосуватися
обмеження,обмеження
баз,баз
даних,дані
стосу,стос
ються,ються
перетину,перетин
кордону,кордон
стосуються,стосуватися
баз,баз
даних,дані
Міністер,міністер
ства,ство
освіти,освіта
Міністерства,міністерство
охорони,охорона
здоров’я,здоров’я
Також,також
внесено,внесено
цілий,цілий
ряд,ряд
технічних,технічний
правок,правок
які,який
на,на
нашу,наш
думку,думка
в,в
принципі,принципі
суттєво,суттєво
покращили,покращили
33,33
даний,даний
законопроект,законопроект
Він,він
одностайно,одностайно
підтриманий,підтриманий
нашим,наш
коміте,коміте
том,том
в,в
такому,такий
вигляді,вигляд
який,який
сьогодні,сьогодні
вам,ви
розданий,розданий
в,в
залі,зал
Тому,тому
просимо,просимо
підтримати,підтримати
Я,я
готовий,готовий
відповісти,відповісти
на,на
запитання,запитання
щодо,щодо
поправок,поправок
які,який
не,не
були,бути
враховані,врахований
ГОЛОВУЮЧИЙ,головуючий
Шановні,шановний
колеги,колега
дякую,дякувати
вам,ви
Переходимо,переходий
до,до
поправок,поправок
Але,але
пане,пане
Тарасе,тарасе
ви,ви
скажіть,сказати
скільки,скільки
було,бути
ві,ві
дхилено,дхилено
поправок,поправок
ПАСТУХ,пастува
Т,т
Т,т
Десь,десь
близько,близько
15,15
ГОЛОВУЮЧИЙ,головуючий
В,в
мене,я
просто,просто
не,не
відзначено,відзначено
Добре,добре
отже,отже
поправка,поправка
10,10
народного,народний
депутата,депутат
Гуляєва,гуляєва
Чи,чи
напо,напо
лягає,лягає
Ні,ні
не,не
наполягає,наполягати
Поправка,поправка
11,11
Левченка,левченка
Чи,чи
наполягає,наполягати
Не,не
наполягає,наполягати
Поправка,поправка
12,12
Левченка,левченка
Не,не
напол,напол
ягає,ягає
Поправка,поправка
16,16
Гуляєва,гуляєва
Не,не
наполягає,наполягати
Поправка,поправка
1,1
Берези,берез
Чи,чи
наполягає,наполягати
Ні,ні
не,не
наполягає,наполягати
Поправка,поправка
21,21
Левченка,левченка
Не,не
наполягає,наполягати
Поправка,поправка
27,27
Гуляєва,гуляєва
Не,не
наполягає,наполягати
Поправка,поправка
35,35
Левченка,левченка
Не,не
наполягає,наполягати
Поправка,поправка
33,33
Написано,написати
що,що
врахована,врахована
Гаразд,гаразд
будь,бути
ласка,ласка
ввімк,ввімк
ніть,ніть
мікрофон,мікрофон
Рябчин,рябчин
щодо,щодо
поправки,поправки
33,33
Одна,один
хвилина,хвилина
РЯБЧИН,рббщон
О,О.
М,М.
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
паливно,паливно
енергетичного,енергетичний
комплексу,комплекс
ядерної,ядерна
політики,політика
та,та
ядерної,ядерна
безпеки,безпека
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
по,по
літична,літична
партія,партія
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
Батьківщина,батьківщина
Фракція,фракція
Батьківщина,батьківщина
Донеччина,донеччина
Фракція,фракція
Батьківщина,батьківщина
утри,утри
мається,мається
від,від
голосування,голосування
в,в
другому,другий
чи,чи
танні,тання
за,за
цей,цей
законопроект,законопроект
і,і
пропонує,пропонувати
повернути,повернут
його,його
на,на
доопрацювання,доопрацювання
До,до
тих,той
пір,пір
поки,поки
не,не
буде,бути
гарант,гарант
ій,ії
що,що
з,з
цим,цей
реєстром,реєстр
не,не
станеться,статися
те,те
саме,саме
що,що
з,з
реєстром,реєстр
переселенців,переселенене
коли,коли
Міністерство,міністерство
фінансів,фінанси
продало,продало
реєстр,реєстр
переселенців,переселенене
колекторській,колекторській
фірмі,фірма
І,і
зараз,зараз
всіх,весь
переселенців,переселенене
я,я
перепрошую,перепрошуя
за,за
не,не
парламентське,парламентське
слово,слово
кошмарять,кошмарятня
просто,просто
по,по
повній,повний
програмі,програма
кол,кол
ек-,ек-
тори,тори
в,в
яких,який
є,бути
офіс,офіс
у,у
Москві,Москва
І,і
ті,той
квартири,квартира
які,який
залишилис,залишилис
я,я
у,у
пересе,пересе
ленців,ленці
в,в
Донецькій,донецький
Луганській,луганський
област,област
ях,я
і,і
всі,весь
документи,документ
опинилися,опинитися
34,34
під,під
загрозою,загроза
Я,я
дуже,дуже
боюся,боєся
щоб,щоб
у,у
наших,наш
хлопців,хлопець
не,не
сталося,статися
те,те
саме,саме
Тому,тому
прошу,просити
до,до
тих,той
пір,пір
поки,поки
не,не
буде,бути
надано,надано
гаран,гаран
тій,той
фракція,фракція
Бать,бать
ківщина,ківщина
утримається,утримається
від,від
цього,цей
голосування,голосування
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Будь,бути
ласка,ласка
прокоментуйте,прокоментуйте
пане,пане
Тарасе,тарасе
ПАСТУХ,пастува
Т,т
Т,т
Власне,власне
в,в
залі,зал
є,бути
представник,представник
Міністерства,міністерство
оборо,оборо
ни,ни
який,який
я,я
думаю,думати
може,могти
дати,дати
повну,повний
і,і
вичерпну,вичерпна
відповідь,відповідь
Це,це
перше,перше
Друг,друг
е,е
База,база
даного,даний
військового,військовий
реєстру,реєстр
є,бути
суттєво,суттєво
більш,більш
захище,захище
ною,вона
ніж,ніж
база,база
про,про
яку,який
щойно,щойно
пане,пане
Олексію,Олексій
ви,ви
згадували,згадувал
Тому,тому
я,я
за,за
Міністерство,міністерство
оборони,оборона
очевидно,очевидно
гарантії,гарантія
жодної,жодний
не,не
надаватиму,надавати
Але,але
питання,питання
в,в
тому,тому
що,що
доступ,доступ
до,до
цієї,цей
бази,база
в,в
повному,повний
вигляді,вигляд
до,до
цілісної,цілісна
картини,картина
має,мати
фактично,фактично
о,о
бмежене,бмегене
коло,коло
людей,людина
Наскільки,наскільки
я,я
ознайомився,ознайомився
з,з
базою,база
то,то
такий,такий
доступ,доступ
мають,мати
одиниці,одиниця
яких,який
можна,можна
порахувати,порахувати
на,на
руках,рука
Тобто,тобто
в,в
даному,даний
разі,раз
встановити,встановити
кожну,кожний
особу,особа
набагато,набагато
легше,легше
щоб,щоб
притягнути,притягнути
її,вона
до,до
відповідальності,відповідальність
Враховуючи,враховуючи
такі,такий
ризики,ризики
кожен,кожний
хто,хто
вчиняв,вчиняв
би,би
такі,такий
дії,дія
розумі,розумі
тиме,тиме
що,що
ця,цей
відповідальність,відповідальність
рано,рано
чи,чи
пізно,пізно
настане,настане
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Я,я
на,на
завершення,завершення
надам,нада
можливість,можливість
виступити,виступити
представнику,представник
міністерства,міністерство
Але,але
зараз,зараз
1,1
хвилина,хвилина
надається,надаватися
Бєльковій,бєлькова
Будь,бути
ласка,ласка
Увімкніт,увімкніт
ь,ь
мікрофон,мікрофон
БЄЛЬКОВА,бщлекова
О,О.
В,в
заступник,заступник
голови,голова
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
паливно,паливно
енергетичного,енергетичний
комплексу,комплекс
ядерної,ядерна
політики,політика
та,та
ядерної,ядерна
безпеки,безпека
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
партія,партія
Блок,блок
Петра,петра
Порошенка,Порошенко
Дуже,дуже
дякую,дякувати
пане,пане
Голово,голово
Я,я
прошу,просити
пост,пост
авити,авити
на,на
підтвердження,підтвердження
поправку,поправка
3,3
Я,я
поясню,поясня
по,по
суті,суть
чому,чому
Конституцією,конституція
чітко,чітко
визначено,визначено
які,який
дані,дані
і,і
в,в
яких,який
випадках,випадок
мають,мати
збиратися,збиратися
про,про
всіх,весь
громадян,громадянин
України,Україна
включаючи,включати
військовозобов’я,військовозобов’я
заних,зані
У,у
першій,перший
редакції,редакція
статті,стаття
7,7
закон,закон
давав,давати
чітк,чітк
ий,ий
перелік,перелік
усіх,увесь
відомостей,відомість
Водночас,водночас
поправка,поправка
3,3
дає,давати
якусь,якийсь
неузгоджену,неузгоджен
позицію,позиція
Незрозу,незріз
міло,міло
хто,хто
і,і
в,в
якому,який
порядку,порядок
визначить,визначить
збір,збір
цих,цей
даних,дані
Це,це
є,бути
небезпека,небезпека
для,для
конституційних,конституційний
прав,право
громадян,громадянин
Дуже,дуже
дякую,дякувати
Водночас,водночас
законо,законо
проект,проект
підтримую,підтримуя
35,35
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
в,в
ам,ам
Пане,пане
Тарасе,тарасе
прокоментуйте,прокоментуйте
ПАСТУХ,пастува
Т,т
Т,т
Власне,власне
чому,чому
з’явилас,з’явилас
я,я
поправка,поправка
3,3
Тому,тому
що,що
персональні,персональні
дані,дані
чітко,чітко
визначені,визначені
Законом,закон
Про,про
захист,захист
персональних,персональний
даних,дані
І,і
ми,ми
вважаємо,вважаємо
що,що
недоцільно,недоцільно
дублювати,дублюват
в,в
іншому,інший
законі,закон
цей,цей
перелік,перелік
персональних,персональний
даних,дані
Адже,адже
я,я
кщо,кщо
будуть,бути
внесені,внесений
зміни,зміна
до,до
Зако,зако
ну,ну
Про,про
захист,захист
персональних,персональний
даних,дані
то,то
автоматично,автоматично
ці,цей
зміни,зміна
дове,дове
деться,деться
вносити,вносити
і,і
в,в
цей,цей
закон,закон
Тому,тому
ми,ми
пішли,піти
таким,такий
шляхом,шляхом
обравши,обравши
більш,більш
уніфіковану,уніфікован
форму,форма
І,і
ми,ми
вважаємо,вважаємо
що,що
це,це
буде,бути
і,і
юридично,юридично
коректніше,коректніше
і,і
правиль,правиль
ніше,ніше
звуч,звуч
атиме,атиме
в,в
цьому,це
законі,закон
Можна,можна
цю,цей
поправку,поправка
врахува,врахува
ти,ти
ГОЛОВУЮЧИЙ,головуючий
То,то
ви,ви
наполягаєте,наполягаєте
на,на
голосуванні,голосування
щодо,щодо
під,під
твердження,твердження
Поправка,поправка
3,3
була,бути
врахована,врахована
чи,чи
відхилена,відхилена
Вона,вона
врахова,врахова
на,на
підтримана,підтримана
На,на
підтвердження,підтвердження
Шановні,шановний
колеги,колега
я,я
ставлю,ставель
пропози,пропози
цію,цій
народного,народний
депу,депу
тата,тато
Бєлькової,бєлькова
поправку,поправка
3,3
поставити,поставити
на,на
голосуван,голосуван
ня,ня
для,для
підтвердження,підтвердження
Комітет,комітет
просить,просити
підтримати,підтримати
і,і
залишити,залишити
дану,дан
поправку,поправка
в,в
тексті,текст
закону,закон
Отже,отже
хто,хто
підтримує,підтримувати
позицію,позиція
комітету,комітет
щоб,щоб
поправка,поправка
3,3
залишилася,залишитися
в,в
тілі,тіло
закону,закон
прошу,просити
проголосувати,проголосувати
Прошу,прош
підтримат,підтримат
и,и
колеги,колега
Будь,бути
ласка,ласка
голосуємо,голосує
За,за
106,106
Рішення,рішення
не,не
прийнято,прийнято
І,і
ми,ми
фактично,фактично
завершили,завершили
обговорення,обговорення
поправок,поправок
Зараз,зараз
я,я
для,для
роз’яснення,роз’яснення
надаю,нада
ще,ще
слово,слово
заступнику,заступник
міністра,міністр
оборони,оборона
Павлов,Павлов
ському,ське
Ігорю,Ігор
Валентиновичу,Валентинович
Одну,один
хвилину,хвилина
будь,бути
ласка,ласка
по,по
суті,суть
цього,цей
законопроекту,законопроект
Будь,бути
ласка,ласка
ввімкніть,ввімкніть
мікрофон,мікрофон
ПАВЛОВСЬКИЙ,павловський
І,і
В,в
заступник,заступник
міністра,міністр
оборони,оборона
України,Україна
Дякую,дякувати
Міністерство,міністерство
оборони,оборона
уважно,уважно
розглянуло,розглянуло
питання,питання
напрац,напрац
ю,ю
вало,вало
і,і
надало,надати
пропозиції,пропозиція
щодо,щодо
внесення,внесення
відповідних,відповідний
змін,зміна
до,до
законо,законо
давства,давства
Міністерство,міністерство
об,об
орони,орони
повністю,повністю
підтримує,підтримувати
даний,даний
законо,законо
проект,проект
і,і
просить,просити
народних,народний
депутатів,депутат
прийняти,прийняти
його,його
Чому,чому
Тому,тому
що,що
ми,ми
бачимо,бачити
на,на
яких,який
засадах,засада
працюють,працювати
сьогодні,сьогодні
військові,військовий
комісаріати,комісаріати
Все,все
решта,решта
що,що
тільки,тільки
що,що
висловлювалос,висловлювалос
я,я
шановними,шановни
народними,народна
депутатами,депутат
регламентуєтьс,регламентуєтьс
я,я
іншими,інший
законами,закон
А,а
ті,той
дані,дані
щодо,щодо
яких,який
36,36
внесені,внесений
поправки,поправки
це,це
все,все
те,те
що,що
необхідно,необхідно
для,для
відповідного,відповідний
визна,визна
чення,чення
військовозобов’язаного,військовозобов’я
для,для
призначення,призначення
його,його
на,на
відповідну,відповідний
посаду,посада
Це,це
відповідає,відповідати
обліковим,обліковий
даним,даний
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
вам,ви
Шановні,шановний
колеги,колега
обговорення,обговорення
завершен,завершенин
о,о
Прошу,прош
заходити,заходити
до,до
залу,зал
приготуватис,приготуватис
я,я
до,до
прийняття,прийняття
рішення,рішення
Фактично,фактично
всі,весь
поправки,поправки
які,який
були,бути
подані,подань
народними,народна
депутатами,депутат
були,бути
враховані,врахований
Даний,даний
законо,законо
проект,проект
підтримується,підтримується
Міністерством,міністерство
оборони,оборона
Комітет,комітет
провів,провести
якісну,якісний
роботу,робота
до,до
другог,друг
о,о
читання,читання
І,і
я,я
прошу,просити
всіх,весь
приготуватис,приготуватис
я,я
до,до
прийняття,прийняття
рішення,рішення
підтримати,підтримати
Міністерство,міністерство
оборони,оборона
підтримати,підтримати
профільний,профільний
комітет,комітет
Колеги,Колеги
можемо,могти
переходити,переходити
до,до
прийняття,прийняття
рішення,рішення
Ставлю,ставля
на,на
голосування,голосування
проект,проект
Закону,закон
Про,про
Єдиний,єдиний
державний,державний
реєстр,реєстр
військовозобов’я,військовозобов’я
заних,зані
№,№
2504а,2504а
для,для
прийняття,прийняття
в,в
другому,другий
читанні,читання
та,та
в,в
цілому,ціле
Прошу,прош
голосувати,голосуват
прошу,просити
підтримати,підтримати
колеги,колега
Будь,бути
ласка,ласка
голосуємо,голосує
За,за
184,184
Колеги,Колеги
я,я
можу,могти
поставити,поставити
іншу,інший
пропозицію,пропозиція
направити,направит
законо,законо
проект,проект
на,на
повторне,повторний
друге,другий
читання,читання
Тут,тут
дуже,дуже
великий,великий
розр,розр
ив,ив
Я,я
по,по
ставлю,ставель
зараз,зараз
пропозицію,пропозиція
про,про
направлення,направлення
на,на
повторне,повторний
друге,другий
читання,читання
Колеги,Колеги
я,я
прошу,просити
зайти,зайти
до,до
залу,зал
приготуватис,приготуватис
я,я
до,до
голосування,голосування
Отже,отже
колеги,колега
Немає,немати
два,два
за,за
два,два
проти,проти
це,це
друге,другий
читання,читання
Ми,ми
тільки,тільки
поправки,поправки
розглядаємо,розглядати
колеги,колега
Ви,ви
підтримуєте,підтримуєте
пов,пов
торне,торне
друге,другий
читання,читання
Підтримуєте,підтримуєте
Воля,воля
народу,народ
Відродження,відродження
Колеги,Колеги
про,про
шу,шу
сконцентруватис,сконцентруватисе
я,я
і,і
зайти,зайти
до,до
залу,зал
Я,я
ставлю,ставель
на,на
голосування,голосування
пропозицію,пропозиція
про,про
направлення,направлення
на,на
по,по
вторне,вторне
друге,другий
читання,читання
проекту,проект
Закону,закон
Про,про
Єдиний,єдиний
державний,державний
реєстр,реєстр
військовозобов’язани,військовозобов’язани
х,х
№,№
2504а,2504а
Прошу,прош
проголосувати,проголосувати
прошу,просити
під,під
тримати,тримати
колеги,колега
Будь,бути
ласка,ласка
голосуємо,голосує
Щоб,щоб
ми,ми
не,не
втратили,втратити
роботу,робота
яку,який
зробив,зробити
комітет,комітет
За,за
203,203
Покажіть,покажіть
по,по
фракціях,фракція
Блок,блок
Петра,петра
Порошенка,Порошенко
85,85
Народний,народний
фронт,фронт
62,62
Опозиційний,опозиційний
блок,блок
0,0
Самопоміч,Самопоміч
0,0
Батьківщина,батьківщина
14,14
Радикальн,радикальн
ої,ої
парті,парта
ї,ї
Олега,олега
Ляшка,ляшко
13,13
Партія,партія
Відродження,відродження
1,1
Воля,воля
народу,народ
8,8
37,37
Колеги,Колеги
ви,ви
скажіть,сказати
чи,чи
ми,ми
маємо,мати
потенціал,потенціал
для,для
того,те
щоб,щоб
вийти,вийти
на,на
рішення,рішення
Надайте,надайте
пропозиції,пропозиція
будь,бути
ласка,ласка
Надамо,надамо
слово,слово
військовим,військовий
Кишкар,кишкар
1,1
хвилина,хвилина
потім,потім
Береза,береза
має,мати
1,1
хвилину,хвилина
Надайте,надайте
пропозиції,пропозиція
як,як
нам,ми
діяти,диять
Кишкар,кишкар
Будь,бути
ласка,ласка
КИШКАР,кишкар
П,П.
М,М.
Дякую,дякувати
Андрію,Андрій
Володимировичу,володимирович
Пропозиція,пропозиція
дуже,дуже
проста,проста
попросити,попросити
головуючого,головуючий
запросити,запросити
Самопоміч,Самопоміч
яка,який
стоїть,стояти
в,в
коридорі,коридор
я,я
ка,ка
підтримує,підтримувати
і,і
ідеологічно,ідеологічно
і,і
з,з
будь-яких,будь-який
сторін,сторона
цей,цей
законопроект,законопроект
Першою,перший
людиною,людина
в,в
авторах,автор
цього,цей
законопроекту,законопроект
є,бути
Тарас,Тарас
Пастух,пастух
якого,який
всі,весь
дуже,дуже
поважають,поважають
люб,люб
лять,лять
І,і
просимо,просимо
і,і
Тараса,Тарас
і,і
просимо,просимо
вас,ви
звернутися,звернутися
до,до
Самопомочі,самопомоч
закликати,закликат
їх,вони
повернутися,повернутися
до,до
залу,зал
і,і
підтримати,підтримати
необхідний,необхідний
для,для
дер,дер
жа-,жа-
ви,ви
законопроект,законопроект
необхідний,необхідний
для,для
армії,армія
необхідний,необхідний
для,для
мобілізаційної,мобілізаційна
підготовки,підготовка
необхідний,необхідний
для,для
того,те
щоби,щоби
прискорити,прискорити
перемогу,перемога
на,на
фрон,фрон
ті,той
у,у
війні,війна
з,з
Росією,Росія
Розумієте,розумієте
Тому,тому
будь,бути
ласка,ласка
зверніться,звернутися
до,до
них,вони
з,з
нормальним,нормальний
людським,людський
проханням,прохання
зайти,зайти
й,й
виконуват,виконуват
и,и
свої,свій
трудові,трудова
функції,функція
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Ви,ви
щойно,щойно
звернулис,звернулис
я,я
Будь,бути
ласка,ласка
Береза,береза
Увімкніть,увімкніть
мікрофон,мікрофон
Юрій,Юрій
Береза,береза
1,1
хвилина,хвилина
БЕРЕЗА,берез
Ю,Ю
М,М.
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
національної,національний
