П’ятниця,п’ятниця
Рибака,рибака
—,—
до,до
виконуючого,виконуюче
обов’язки,обов’язок
голови,голова
Фонду,фонда
державного,державний
майна,майна
України,Україна
щодо,щодо
передачі,передача
об’єкта,об’єкт
державної,державний
власності,власність
—,—
Дитячого,дитячий
закладу,заклад
оздоровлення,оздоровлення
та,та
відпочинку,відпочинок
“,“
Юність,юність
”,”
у,у
комуналь,комуналь
ну,ну
власність,власність
Івана,Іван
Рибака,рибака
—,—
до,до
Прем’єр,прем’єрний
міністра,міністр
України,Україна
щодо,щодо
необхід,необхід
ності,ність
вжиття,вжиття
невідкладних,невідкладний
заходів,захід
направлених,направлений
на,на
продовження,продовження
53,53
фінансування,фінансування
будівництва,будівництво
очисних,очисний
споруд,споруда
будівництва,будівництво
газопро,газопро
воду,вода
та,та
відбудови берегозахисної,відбудови бегогнахий
дамби,дамба
у,у
місті,місто
Вижниця,вижниця
Черні,черні
вецької,вецька
області,область
Андрія,Андрій
Шипка,шипка
—,—
до,до
Прем’єр,прем’єрний
міністра,міністр
України,Україна
щодо,щодо
прий,прий
няття,няття
урядом,урято
постанови,постанова
стосовно,стосовно
запровадження,запровадження
державного,державний
регулювання,регулювання
цін,ціна
на,на
лікарські,лікарська
засоби,засіб
для,для
лікування,лікування
осіб,особа
з,з
гіпер,гіпер
тонічною,тонічна
хворобою,хвороба
Андрія,Андрій
Шипка,шипка
—,—
до,до
міністра,міністр
охорони,охорона
здоров’я,здоров’я
Украї,укра
ни,ни
щодо,щодо
забезпечення,забезпечення
вакцин,вакцин
для,для
проведення,проведення
планови,планови
х,х
профілактичних,профілактичний
щеплень,щеплень
у,у
2015,2015
році,рік
в,в
Україні,Україна
зокрема,зокрема
в,в
місті,місто
Нікополь,нікополь
Ніко,ніко
польському,польський
районі,район
місті,місто
Орджонікідзе,орджонікідзе
Дніпропетровської,дніпропетровська
області,область
Павла,Павло
Різаненка,різаненка
—,—
до,до
директора,директор
розпорядника,розпорядник
Фонду,фонда
гарантуванн,гарантуванн
я,я
вкладів,вклад
фізичних,фізичний
осіб,особа
щодо,щодо
діяльності,діяльність
уповноваже,уповноваже
них,вони
осіб,особа
Фонду,фонда
гарантування,гарантування
вкладів,вклад
фізичних,фізичний
осіб,особа
Павла,Павло
Різаненка,різаненка
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
щодо,щодо
зловживань,зловживань
працівниками,працівник
Фонду,фонда
гарантування,гарантування
вкладів,вклад
фі,фі
зичних,зичний
осіб,особа
під,під
час,час
проведення,проведення
процедури,процедура
лі,лі
квідації,квідація
банків,банок
Григорія,григорія
Тіміша,тіміша
—,—
до,до
віце,віце
прем’єр,прем’єрний
міністра,міністр
України,Україна
—,—
міністра,міністр
культури,культура
України,Україна
щодо,щодо
сприяння,сприяння
у,у
реставрації,реставрація
покрівлі,покрівлі
пам’ятки,пам’ятка
архітектури,архітектура
у,у
селі,село
Топорівці,топорівці
Новоселицького,новоселицький
району,район
Чернівецької,чернівецька
області,область
“,“
Іллінська,іллінська
церква,церква
дзвіниця,дзвіниця
та,та
мури,мури
”,”
Руслана,Руслан
Князевича,князевич
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
щодо,щодо
проведення,проведення
об’єктивного,об’єктивний
розслідування,розслідування
в,в
частині,частина
заволо,заволо
діння,діння
грошовими,грошова
коштами,кошти
внаслідок,внаслідок
шахрайських,шахрайський
дій,дія
Василя,Василь
Яніцького,яніцький
—,—
до,до
Прем’єр,прем’єрний
міністра,міністр
України,Україна
міністра,міністр
фінансів,фінанси
України,Україна
міністра,міністр
енергетики,енергетики
та,та
вугільної,вугільна
промисловості,промисловість
України,Україна
щодо,щодо
порядку,порядок
та,та
умов,умова
розподілу,розподіл
коштів,кошти
субвенції,субвенція
з,з
дер-,дер-
жавного,жавне
бюджету,бюджет
місцевим,місцевий
бюджетам,бюджет
на,на
фінансування,фінансування
заходів,захід
соціально,соціально
економічної,економічний
компенсації,компенсація
ризику,ризик
населення,населення
яке,який
прожи,прожи
ває,ває
на,на
території,територія
зони,зона
спостереження,спостереження
Олександра,Олександр
Вілкула,вілкула
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
голови,голова
Служби,служба
безпеки,безпека
України,Україна
стосовно,стосовно
фактів,факт
масових,масовий
акцій,акція
протесту,протест
місцевих,місцевий
мешканців,мешканець
внаслідок,внаслідок
загибелі,загибель
восьмирічної,восьмирічний
54,54
дівчинки,дівчинки
та,та
травмування,травмування
жінки,жінка
і,і
її,вона
дитини,дитина
під,під
гусеницями,гусениця
бойової,бойовий
машини,машина
десанту,десант
в,в
селищі,селищі
К,К.
остянтинівці,остянтинівець
та,та
проведення,проведення
відповід,відповід
ного,він
повноцінного,повноцінний
розслідування,розслідування
для,для
зниження,зниження
соціальної,соціальний
напру,напра
женості,женість
а,а
також,також
щодо,щодо
розслідування,розслідування
низки,низка
подібних,подібний
резонансних,резонансні
інцидентів,інцидент
за,за
участі,участь
військових,військовий
АТО,АТО
Сергія,Сергій
Ківалова,ківалова
—,—
до,до
Генеральної,генеральний
прокуратури,прокуратура
України,Україна
перш,перш
ого,о_о
заступника,заступника
голови,голова
Державної,державний
архітектурно,архітектурно
будівельної,будівельна
інспекції,інспекція
України,Україна
щодо,щодо
вжиття,вжиття
в,в
межах,межа
компетенції,компетенція
заходів,захід
стосовно,стосовно
усунення,усунення
порушень,порушень
вимог,вимога
земельного,земельний
архітектурно,архітектурно
містобудівного,містобудівне
та,та
природоохоронного,природоохоронне
законодавства,законодавство
під,під
час,час
про,про
ведення,ведення
будівельних,будівельний
р,р.
обіт,обіт
у,у
межах,межа
комплексу,комплекс
охоронної,охоронна
зони,зона
“,“
Аркадія,аркадія
”,”
в,в
місті,місто
Одеса,Одеса
групи,група
народних,народний
депутатів,депутат
Сташук,сташук
Ледовських,ледовський
та,та
інші,інший
—,—
всього,все
чотири,чотири
депутати,депутат
—,—
до,до
Антимонопольного,Антимонопольненене
комітету,комітет
України,Україна
Національної,національний
комісії,комісія
що,що
здійснює,здійснювати
державне,державне
регулювання,регулювання
у,у
сфе,сфе
рах,рах
енергетик,енергетик
и,и
та,та
комунальних,комунальний
послуг,послуга
Київського,київський
міського,міський
голови,голова
щодо,щодо
повірки,повірки
квартирних,квартирна
приладів,прилад
обліку,облік
спожитої,спожити
холодної,холодна
гарячої,гарячий
води,вода
та,та
сплати,сплата
за,за
її,вона
проведення,проведення
у,у
місті,місто
Києві,Київ
Юрія,юрія
Бублика,бублика
—,—
до,до
Прем’єр,прем’єрний
міністра,міністр
України,Україна
Генерального,генеральний
прокурора,прокурор
України,Україна
міністра,міністр
внутр,внутр
ішніх,іш’іх
справ,справа
України,Україна
про,про
без,без
діяльність,діяльність
посадових,посадовий
осіб,особа
органів,орган
прокуратури,прокуратура
правоохоронних,правоохоронний
органів,орган
міністерств,міністерство
та,та
відомств,відомство
їх,вони
неналежне,неналежне
реагування,реагування
на,на
депутатські,депутатські
звернення,звернення
та,та
запити,запит
щодо,щодо
зловживань,зловживань
керівництва,керівництва
Полтавського,полтавський
національного,національний
технічного,технічний
універс,універс
итету,итета
імені,ім’я
Юрія,юрія
Кондратюка,кондратюка
Едуарда,едуарда
Матвійчука,матвійчук
—,—
до,до
Міністерства,міністерство
регіонального,регіональний
розвитку,розвиток
будівництва,будівництво
та,та
житлово,житловий
комунального,комунальне
господарства,господарство
України,Україна
Одеської,одеський
міської,міський
ради,ради
стосовно,стосовно
необхідності,необхідність
вжиття,вжиття
діє,діяти
вих,вих
заходів,захід
реагування,реагування
на,на
колективне,колективне
звернення,звернення
жителі,жителі
в,в
Таїров,таїров
ського,ське
масиву,масива
Київського,київський
району,район
міста,місто
Одеси,Одеса
щодо,щодо
капітального,капітальний
ремонту,ремонт
дороги,дорога
та,та
благоустрою,благоустрій
прибудинкової,прибудинкова
території,територія
по,по
вулиці,вулиця
Вільямса,вільямса
58,58
1,1
та,та
56,56
3,3
55,55
Едуарда,едуарда
Матвійчука,матвійчук
—,—
до,до
Міністерства,міністерство
охорони,охорона
здоров’я,здоров’я
України,Україна
Міністерства,міністерство
фінансів,фінанси
України,Україна
Мін,мін
істерства,істерства
соціальної,соціальний
політики,політика
України,Україна
стосовно,стосовно
необхідності,необхідність
надання,надання
допомоги,допомога
в,в
за,за
безпеченні,безпечення
належного,належне
та,та
комплексного,комплексний
лікування,лікування
мешканця,мешканець
Київ,Київ
ського,ське
району,район
міста,місто
Одеси,Одеса
інваліда,інваліда
з,з
дитинства,дитинство
III,III
групи,група
Олексія,олексія
Лук’янова,лук’янов
Андрія,Андрій
Гальченка,гальченка
—,—
до,до
Генерального,генеральний
пр,пр.
окурора,окурор
України,Україна
щодо,щодо
нападу,напад
на,на
співробітників,співробітник
КП “,кп’я
Криворізька,криворізька
муніципальна,муніципальна
гвардія,гвардія
”,”
у,у
місті,місто
Кривий,кривий
Ріг,ріг
Дніпропетровської,дніпропетровська
області,область
Сергія,Сергій
Рудика,рудика
—,—
до,до
міністра,міністр
охорони,охорона
здоров’я,здоров’я
України,Україна
щодо,щодо
відтермінування,відтермінування
передачі,передача
спеціалізованих,спеціалізований
медико,медичний
санітарних,санітарний
час,час
тин,тин
н,н
а,а
фінансування,фінансування
з,з
місцевих,місцевий
бюджетів,бюджет
Сергія,Сергій
Рудика,рудика
—,—
до,до
міністра,міністр
оборони,оборона
України,Україна
щодо,щодо
надання,надання
статусу,статус
учасника,учасника
бойових,бойовий
дій,дія
та,та
проведення,проведення
вчасної,вчасна
демобілізації,демобілізація
бійців,бій
батальйону,батальйон
“,“
Черкаси,Черкаси
”,”
Ірини,ірина
Суслової,суслова
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
міні,міні
стра,стро
внутріш,внутріш
ніх,воно
справ,справа
України,Україна
щодо,щодо
розслідування,розслідування
корупційних,корупційний
схем,сха
до,до
яких,який
причетний,причетний
Петро,Петро
Мельник,Мельник
—,—
колишній,колишній
ректор,ректор
На,на
ціонального,ціональне
університету,університет
Державної,державний
податкової,податковий
служби,служба
України,Україна
Ірини,ірина
Суслової,суслова
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
го,го
лови,лови
Служби,служба
безпеки,безпека
України,Україна
щод,щод
о,о
проведення,проведення
перевірки,перевірка
діяль,діяль
ності,ність
Сергія,Сергій
Ківалова,ківалова
направленої,направлена
на,на
підрив,підрив
державного,державний
сувере,сувере
нітету,нітет
та,та
територіальної,територіальний
цілісності,цілісність
України,Україна
а,а
також,також
розпалювання,розпалювання
національної,національний
ворожнечі,ворожнеча
в,в
країні,країна
Сергія,Сергій
Капліна,капліна
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
щодо,щодо
проведенн,проведенн
я,я
об’єктивних,об’єктивний
розслідувань,розслідування
за,за
заявами,заява
оприлюдне,оприлюдне
ними,вони
головою,голова
Державної,державний
фінансової,фінансовий
інспекції,інспекція
України,Україна
Миколою,микола
Гордієнком,гордієнко
стосовно,стосовно
фактів,факт
корупції,корупція
та,та
блокування,блокування
розкриття,розкриття
корупційних,корупційний
схем,сха
попереднього,попередній
уряду,уряд
Сергія,Сергій
Капліна,капліна
—,—
до,до
Київського,київський
міського,міський
голови,голова
що,що
до,до
сприяння,сприяння
в,в
забезпеченні,забезпечення
постійного,постійний
місця,місце
проживання,проживання
родини,родина
Олександра,Олександр
Борзих,борзих
заслуженого,заслужений
лікаря,лікар
України,Україна
доктора,доктора
медич,медич
них,вони
наук,наука
професора,професор
Донецького,донецький
національного,національний
медичного,медичний
універ,універ
ситету,ситет
імені,ім’я
Максима,Максим
Горького,горький
56,56
Михайла,Михайло
Головка,головка
—,—
до,до
Прем’єр,прем’єрний
міністра,міністр
Ук,ук
раїни,раїни
міністра,міністр
соціальної,соціальний
політики,політика
України,Україна
щодо,щодо
забезпечення,забезпечення
в,в
повному,повний
обсязі,обсяг
фінансування,фінансування
виплати,виплата
заробітної,заробітний
плати,плата
працівникам,працівник
територіаль,територіаль
ного,він
центру,центр
обслуговування,обслуговування
населення,населення
Михайла,Михайло
Головка,головка
—,—
до,до
Прем,прем
’єр,’єр
міністра,міністр
України,Україна
міністра,міністр
освіти,освіта
і,і
науки,наука
Україн,україн
и,и
міністра,міністр
фінансів,фінанси
України,Україна
про,про
включення,включення
об’єкта,об’єкт
капітального,капітальний
будівництва,будівництво
в,в
перелік,перелік
об’,об’
єктів,єкт
на,на
які,який
у,у
2015,2015
році,рік
буде,бути
виділятися,виділятися
субвенція,субвенція
з,з
державного,державний
бюджету,бюджет
на,на
виконання,виконання
інвестиційних,інвестиційний
програм,програма
і,і
проектів,проект
державного,державний
фонду,фонд
регіонального,регіональний
розвитку,розвиток
Юрія,юрія
Д,Д.
ерев’янка,ерев’янка
—,—
до,до
віце,віце
прем’єр,прем’єрний
міністра,міністр
України,Україна
—,—
міні-,міні-
стра,стро
регіонального,регіональний
розвитку,розвиток
будівництва,будівництво
та,та
житлово,житловий
комуналь,комуналь
ного,він
господарства,господарство
України,Україна
голови,голова
Івано,івано
Франківської,франківська
обласної,обласна
державної,державний
адміністрації,адміністрація
щодо,щодо
необхідності,необхідність
внесення,внесення
змін,зміна
до,до
бю,бю
джету,джет
Богородчанськ,богородчанськ
ої,ої
районної,районний
ради,ради
Івано,івано
Франківської,франківська
області,область
спрямованих,спрямований
на,на
фінансування,фінансування
дошкільних,дошкільний
закладів,заклад
та,та
закладів,заклад
культури,культура
сіл,сіл
Старуня,старуня
Манява,манява
та,та
Старі,старий
Богородчани,богородчан
та,та
недопу,недопу
щення,щення
примусової,примусова
передачі,передача
б,б
удівель,удівель
та,та
майна,майна
цих,цей
закладів,заклад
в,в
оперативне,оперативне
управління,управління
або,або
орен,орен
ду,ду
Богородчанській,богородчанськія
районній,районній
державній,державна
адміністрації,адміністрація
Юрія,юрія
Дерев’янка,дерев’янка
—,—
до,до
виконуючого,виконуюче
обов’язки,обов’язок
голови,голова
Анти,анта
монопольного,монопольний
комітету,комітет
України,Україна
щодо,щодо
врегулювання,врегулювання
Антимоно,антимоно
польним,польний
комітетом,комітет
України,Україна
різкого,різкий
та,та
необґрунтованого,необґрунтоване
зростан,зростан
ня,ня
цін,ціна
на,на
продовольчих,продовольчий
ринках,ринок
України,Україна
та,та
усунення,усунення
зловживання,зловживання
монопольним,монопольний
становищем,становище
суб’єктами,суб’єкт
господарювання,господарювання
Тараса,Тарас
Батенка,батенка
—,—
до,до
Прем’єр,прем’єрний
міністра,міністр
України,Україна
з,з
приводу,привід
інформації,інформація
поширеної,поширена
представником,представник
Американської,американський
торговель,торговель
ної,вона
палати,палата
щодо,щодо
заяви,заява
міністра,міністр
енергетики,енергетики
та,та
вугільної,вугільна
пр,пр.
оми-,оми-
словості,словість
Володимира,Володимир
Демчишина,демчишина
про,про
те,те
що,що
галузь,галузь
альтерна,альтерна
тивної,тивна
енергетики,енергетики
в,в
Україні,Україна
не,не
має,мати
права,право
на,на
існування,існування
Тараса,Тарас
Батенка,батенка
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
міністра,міністр
внутрішніх,внутрішній
справ,справа
України,Україна
щодо,щодо
перевищення,перевищення
службових,службови
повноважень,повноваження
та,та
заподіяння,заподіяння
м,м
атеріальних,атеріальний
збитків,збиток
Публічному,публічний
57,57
акціонерному,акціонерний
товариству,товариство
“,“
Укртранснафта,укртранснафта
”,”
посадовою,посадова
особою,особа
На,на
ціональної,ціональна
акціонерної,акціонерна
компанії,компанія
“,“
Нафтогаз,нафтогаз
України,Україна
”,”
громадянином,громадянин
Савченком,савченко
Лілії,лілія
Гриневич,гриневич
—,—
до,до
міністра,міністр
охорони,охорона
здоров’я,здоров’я
України,Україна
про,про
перегляд,перегляд
Державних,державний
санітарних,санітарний
но,но
рм,рм
та,та
правил,правило
“,“
Влаштування,влаштування
обладнання,обладнання
утримання,утримання
дошкільних,дошкільний
навчальних,навчальний
закладів,заклад
та,та
орга,орга
нізації,нізація
життєдіяльності,життєдіяльність
дітей,дитина
”,”
з,з
метою,мета
розширення,розширення
доступу,доступ
до,до
дошкільної,дошкільна
освіти,освіта
Миколи,Микола
Кадикала,кадикала
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
міністра,міністр
внутрішніх,внутрішній
справ,справа
України,Україна
щодо,щодо
неправомірних,неправомірний
дій,дія
поса,поса
дових,дових
осіб,особа
Державного,державний
підприємства,підприємство
“,“
Укрспирт,укрспирт
”,”
та,та
неналежного,неналежне
розслідування,розслідування
кримінальної,кримінальна
справи,справа
Ярослава,Ярослав
Дубневича,дубневич
—,—
до,до
міністра,міністр
внутрішніх,внутрішній
справ,справа
України,Україна
голови,голова
Державної,державний
міграційної,міграційна
служби,служба
України,Україна
щодо,щодо
встановлення,встановлення
обладнання,обладнання
д,д.
ля,ля
виготовлення,виготовлення
біометричних,біометричний
паспортів,паспорт
громадя,громадь
нина,нина
України,Україна
для,для
виїзду,виїзд
за,за
кордон,кордон
у,у
Городоцькому,городоцький
та,та
Самбір,самбір
ському,ське
районах,район
Львівської,львівський
області,область
Ярослава,Ярослав
Дубневича,дубневич
—,—
до,до
Прем’єр,прем’єрний
міністра,міністр
України,Україна
щодо,щодо
недопущення,недопущення
штучного,штучне
знищення,знищення
промислового,промисловий
підприємства,підприємство
То,то
вариства,вариства
з,з
обмеженою,обмежена
відповідальністю,відповідальністю
“,“
Універсальна,універсальна
бурова,бурова
техніка,техніка
”,”
Юрія,юрія
Шаповалова,шаповалова
—,—
до,до
Прем’єр,прем’єрний
міністра,міністр
України,Україна
щодо,щодо
необхідності,необхідність
врегулювання,врегулювання
ситуації,ситуація
у,у
сфері,сфера
забезпечення,забезпечення
блан,блан
ками,хи
посвідчень,посвідчень
батьків,батьки
та,та
дитини,дитина
з,з
багатодітної,багатодітний
сім’ї,сім’я
Вадима,вадима
Денисенка,денисенка
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
стосовно,стосовно
вжиття,вжиття
невідкладних,невідкладний
заходів,захід
Генеральною,генеральний
прокуратурою,прокуратура
України,Україна
щодо,щодо
притягнення,притягнення
до,до
кримінальної,кримінальна
відповідальності,відповідальність
судді,судді
Печерського,печерський
районного,районний
суду,суд
міста,місто
Києва,Київ
Романа,Роман
Новака,новака
Володимира,Володимир
Парасюка,парасюк
—,—
до,до
Генерального,генеральний
прокур,прокур
ора,ора
України,Україна
щодо,щодо
фінансових,фінансовий
зловживань,зловживань
колишнього,колишній
очільника,очільника
Яво,яво
рівського,рівський
районного,районний
відділу,відділ
освіти,освіта
Григорія,григорія
Бабія,бабія
та,та
його,його
погроз,погроз
громадському,громадський
активісту,активіст
вбивством,вбивство
58,58
Альони,альони
Шкрум,шкрум
—,—
до,до
Прем’єр,прем’єрний
міністра,міністр
України,Україна
міністра,міністр
фінансів,фінанси
України,Україна
щодо,щодо
результатів,результат
консул,консул
ьтацій,стації
з,з
міжнародними,міжнародний
фінансовими,фінансов
організаціями,організація
стосовно,стосовно
запровадження,запровадження
тимчасових,тимчасові
заходів,захід
щодо,щодо
стабілізації,стабілізація
платіжного,платіжний
балансу,баланс
України,Україна
Володимира,Володимир
Парасюка,парасюк
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
міністра,міністр
охорони,охорона
здоров’я,здоров’я
України,Україна
щодо,щодо
корупції,корупція
без,без
діяльності,діяльність
та,та
протизаконних,протизаконний
дій,дія
що,що
мали,мати
місце,місце
у,у
Львівському,львівський
наркодиспансері,наркодиспансер
Володимира,Володимир
Шкварилюка,шкварилюк
—,—
до,до
міністра,міністр
фінансів,фінанси
України,Україна
міністра,міністр
аграрної,аграрна
політики,політика
та,та
продовольства,продовольства
України,Україна
щодо,щодо
зволі,зволя
кань,кань
в,в
реалізації,реалізація
бюджетної,бюджетний
програми,програма
“,“
Організація,організація
і,і
регулювання,регулювання
діяльно,діяльно
сті,сто
установ,установа
в,в
системі,система
агропромислового,агропромислове
комплексу,комплекс
та,та
за,за
безпечення,безпечення
діяльності,діяльність
Аграрного,аграрний
фонду,фонд
”,”
Олександра,Олександр
Жолобецького,жолобецький
—,—
до,до
міністра,міністр
енергетики,енергетики
та,та
вугільної,вугільна
промисловості,промисловість
України,Україна
голови,голова
Державної,державний
служби,служба
спе,спе
ціального,ціальне
зв’язку,зв’язок
та,та
захисту,захист
інформації,інформація
України,Україна
щодо,щодо
ситуації,ситуація
яка,який
склалася,склалася
з,з
відключенням,відключення
від,від
енергопостачання,енергопостачання
ретранслятора,ретранслятора
Миколаївського,миколаївський
філіалу,філіалу
Концерну,концерн
радіомовлення,радіомовлення
радіозв’язку,радіозв’язка
та,та
телебачення,телебачення
у,у
селі,село
Луч,луч
Жовтневого,жовтневе
району,район
Миколаївської,миколаївський
області,область
Івана,Іван
Мельничука,мельничук
—,—
до,до
Голови,голова
Верховної,верховний
Ради,рада
України,Україна
Прем’єр,прем’єрний
міністра,міністр
України,Україна
щодо,щодо
надання,надання
дозволу,дозвіл
Кабінетом,кабінет
Міні,міні
стрів,стрево
України,Україна
на,на
проведення,проведення
перевірки,перевірка
порушень,порушень
земельного,земельний
та,та
водного,водне
законодавства,законодавство
Товариством,товариство
з,з
обмеженою,обмежена
відповідаль,відповідаль
ністю,ність
“,“
Глинянкофф,глинянкофф
”,”
групи,група
народних,народний
депутатів,депутат
Добродомов,добродомова
Шкрум,шкрум
—,—
всього,все
11,11
депутатів,депутат
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
першого,перший
заступника,заступника
Генерального,генеральний
прокурора,прокурор
України,Україна
щодо,щодо
розслідування,розслідування
та,та
перевірки,перевірка
фактів,факт
наведених,наведений
у,у
заяві,зая
голови,голова
Державної,державний
фінан,фінан
сової,сова
інспекції,інспекція
України,Україна
та,та
порушення,порушення
кримінальних,кримінальний
справ,справа
за,за
ре,ре
зультатами,зультат
п,п.
еревірок,еревірок
державних,державний
органів,орган
здійснених,здійснений
Державною,державна
фінансовою,фінансова
інспекцією,інспекція
України,Україна
59,59
Тараса,Тарас
Кутового,кутов
—,—
до,до
Генерального,генеральний
прокурора,прокурор
України,Україна
про,про
умисне,умисне
затягування,затягування
розслідування,розслідування
кримінальних,кримінальний
справ,справа
номери,номери
вказуються,вказуються
Юрія,юрія
Левченка,левченка
—,—
до,до
міністра,міністр
екології,екологія
та,та
природн,природн
их,их
ресур,ресур
сів,сісти
України,Україна
Генерального,генеральний
прокурора,прокурор
України,Україна
голови,голова
Київської,київський
обласної,обласна
державної,державний
адміністрації,адміністрація
щодо,щодо
недопущення,недопущення
незаконного,незаконне
знищення,знищення
унікального,унікальний
ландшафтного,ландшафтне
заказника,заказник
загальнодержав,загальнодержава
ного,він
значення,значення
“,“
Козинський,козинський
”,”
який,який
становить,становити
особливу,особливий
цінність,цінність
д,д.
ля,ля
України,Україна
групи,група
народних,народний
депутатів,депутат
Левченко,левченко
Іллєнко,іллєнко
—,—
всього,все
шість,шість
депутатів,депутат
—,—
до,до
Голови,голова
Верховної,верховний
Ради,рада
України,Україна
Служби,служба
безпеки,безпека
України,Україна
щодо,щодо
розслідування,розслідування
фактів,факт
висвітлених,висвітлений
у,у
заяві,зая
голови,голова
Держ,держ
авної,авна
фінансової,фінансовий
інспекції,інспекція
України,Україна
Гордієнка,гордієнка
стосовно,стосовно
мож,мож
ливої,лива
причетності,причетність
Пре,пре
м’єр,м’єр
міністра,міністр
України,Україна
до,до
корупційної,корупційна
діяль,діяль
ності,ність
уряду,уряд
та,та
розкрадання,розкрадання
бюджетних,бюджетний
коштів,кошти
на,на
суму,сума
понад,понад
