Середа,середа
10,10
відсотків,відсоток
електроенергії,електроенергія
продає,продає
у,у
вільний,вільний
ринок,ринок
Після,після
врахування,врахування
цієї,цей
поправки,поправки
він,він
зможе,змогти
продавати,продавати
15,15
відсотків,відсоток
тобто,тобто
от,от
римувати,римувати
ме,ме
більше,більше
грошей,гроші
і,і
зможе,змогти
підвищити,підвищит
заробітн,заробітн
у,у
плат,плат
у,у
своїм,свій
працівникам,працівник
на,на
наступний,наступний
рік,рік
Тобто,тобто
ця,цей
поправка,поправка
саме,саме
на,на
користь,користь
нашій,наш
державній,державна
компанії,компанія
Енергоатом,Енергоатом
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Шановні,шановний
колеги,колега
прошу,просити
підготуватися,підготуватися
до,до
голосування,голосування
Ставиться,ставиться
на,на
голосування,голосування
для,для
підтвердження,підтвердження
п,п.
оправка,оправка
13,13
народ,народ
ного,він
депутата,депутат
Геруса,геруса
Комітет,комітет
її,вона
врахував,врахува
тому,тому
прошу,просити
підтримати,підтримати
та,та
голосувати,голосуват
За,за
−,−
263,263
Рішення,рішення
прийнято,прийнято
39,39
Ідемо,ідемо
далі,далі
Наступна,наступна
поправка,поправка
16,16
народної,народний
депутатки,депутатки
Климпуш,климпуш
Цинцадзе,цинцадзе
Будь,бути
ласка,ласка
КЛИМПУШ,климпуш
ЦИНЦАДЗЕ,цинцадзе
І,і
О,О.
Дякую,дякувати
Колеги,Колеги
я,я
маю,мати
в,в
руках,рука
листа,лист
від,від
голови,голова
Представництва,представництво
Європейського,європейський
Союзу,союз
в,в
Україні,Україна
У,у
цьому,це
листі,лист
наші,наш
європейські,європейський
партнери,партнери
говорять,говорити
про,про
те,те
що,що
обов,обов
’яз,’яз
кове,кове
подання,подання
заявок,заявка
і,і
встановлення,встановлення
граничних,граничний
цін,ціна
є,бути
формами,форма
втру,втру
чання,чання
дер,дер
жави,жава
у,у
ринкові,ринк
відносини,відносини
і,і
ці,цей
положення,положення
взагалі,взагалі
не,не
бажано,бажано
включати,включат
до,до
закон,закон
у,у
Якщо,якщо
ж,ж
усе-таки,усе-таки
ухвалено,ухвалено
рішення,рішення
що,що
такий,такий
інструмент,інструмент
потрібен,потрібний
і,і
буде,бути
запроваджуватися,запроваджуватися
то,то
закон,закон
має,мати
обов,обов
’яз,’яз
ково,ково
визначати,визначат
найперше,найперше
випадки,випадки
в,в
яких,який
це,це
допустимо,допустити
робити,робити
з,з
попере,попере
днім,день
підкреслюю,підкреслюва
узгодженням,узгодження
з,з
Антимонопольним,Антимонопольний
комі,ком
тетом,тето
І,і
тоді,тоді
ми,ми
з,з
вами,ви
зможемо,змогти
упередити,упередит
фактори,фактор
суб’єктивності,суб’єктивність
при,при
прийнятті,прийняття
рішення,рішення
регулятором,регулятор
Тому,тому
п,п.
оправка,оправка
16,16
спрямована,спрямована
саме,саме
для,для
зазначення,зазначення
надзвичайних,надзвичайний
ситуацій,ситуація
в,в
енергосистемі,енергосистема
як,як
підстави,підстави
для,для
т,т.
ого,о_о
щоб,щоб
запроваджувати,запроваджуват
строкове,строкове
державне,державне
регулювання,регулювання
ГОЛОВУЮЧИЙ,головуючий
Додайте,додайте
10,10
секунд,секунда
щоб,щоб
завершити,завершит
будь,бути
ласка,ласка
КЛИМПУШ,климпуш
ЦИНЦАДЗЕ,цинцадзе
І,і
О,О.
Вона,вона
потрібна,потрібна
для,для
строкового,строковий
державного,державний
регулювання,регулювання
і,і
антимонопольного,антимонопольного
узгодження,узгодження
Я,я
прошу,просити
підтримати,підтримати
цю,цей
поправку,поправка
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Позиція,позиція
комітету,комітет
ГЕРУС,герт
А,а
М,М.
Комітет,комітет
відхилив,відхилив
цю,цей
поправку,поправка
Лист,лист
на,на
який,який
посила,посила
лися,лися
був,бути
ще,ще
до,до
того,те
як,як
ми,ми
проводили,проводити
консультації,консультація
У,у
підсумку,підсумку
ми,ми
випрацювали,випрацювали
версію,версія
яка,який
погоджена,погоджена
з,з
Секретаріатом,секретаріат
Енерге,енерге
тичного,тичне
Співтовариства,співтовариство
І,і
ц,ц
е,е
інша,інший
поправка,поправка
щодо,щодо
якої,який
буде,бути
про,про
понуватися,понуватися
щоб,щоб
вона,вона
була,бути
підтримана,підтримана
Ц,ц
ю,ю
по,по
правк,правк
у,у
відхилен,відхилен
о,о
ГОЛОВУЮЧИЙ,головуючий
Ви,ви
наполягаєте,наполягаєте
Так,так
40,40
Шановні,шановний
колеги,колега
ставиться,ставиться
на,на
голосування,голосування
поправка,поправка
16,16
народної,народний
депутатки,депутатки
Климпуш,климпуш
Цинцадзе,цинцадзе
Комітет,комітет
цю,цей
поправку,поправка
пропонує,пропонувати
відхи,відх
лити,лити
Прошу,прош
визначатис,визначатис
я,я
та,та
голосувати,голосуват
За,за
−,−
56,56
Рішення,рішення
не,не
прийнято,прийнято
Наступна,наступна
п,п.
оправка,оправка
17,17
народного,народний
депутата,депутат
Бондаря,бондар
Будете,бути
напо,напо
лягати,лягат
Прошу,прош
увімкніть,увімкніть
мікрофон,мікрофон
БОНДАР,бондар
М,М.
Л,л
Дякую,дякувати
У,у
моїй,мій
поправ,поправ
ці,цей
17,17
пропонує,пропонувати
ться,ться
чітко,чітко
визначити,визначити
в,в
такому,такий
законі,закон
такі,такий
речі,річ
Перше,перше
Регуляторні,регуляторний
інструменти,інструмент
якими,який
наділяється,наділяється
регулятор,регулятор
мають,мати
застосовуватися,застосовуватися
ним,він
виключно,виключно
окремо,окремо
як,як
альтернативні,альтернативня
механізми,механізм
по,по
відношенню,відношення
один,один
до,до
іншого,інший
Друге,друг
Процедура,процедура
застосування,застосування
державних,державний
цін,ціна
та,та
обов,обов
’язкового,’язків
про,про
дажу,дажу
має,мати
бути,бути
чітко,чітко
виз,виз
начена,начена
та,та
зрозуміла,зрозуміти
як,як
для,для
вітчизняних,вітчизняний
учасників,учасник
ринку,ринок
електричної,електрична
енергії,енергія
так,так
і,і
для,для
імпортерів,імпортер
Державні,державня
ціни,ціна
мають,мати
бути,бути
орієнтовані,орієнтований
на,на
ринкові,ринк
індикатори,індикатори
наших,наш
і,і
євро,євро
пейських,пейськи
сусідів,сусід
Угорщина,угорщина
Румунія,румунія
Республіка,республіка
Польща,Польща
Словацька,словацька
Республіка,республіка
Такі,такий
зах,зах.
оди,оди
можливо,можливо
застосовувати,застосовувати
лише,лише
до,до
моменту,момент
інтеграції,інтеграція
енергосистеми,енергосисте
України,Україна
до,до
ЄС,ЄС
та,та
початку,початок
роботи,робота
нашої,наш
енергосистеми,енергосисте
в,в
єдиному,єдиний
європейському,європейський
енергетичному,енергетичний
просторі,простір
Тому,тому
прошу,просити
підтримати,підтримати
цю,цей
поправку,поправка
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Позиція,позиція
комітету,комітет
ГЕРУС,герт
М,М.
Коміт,коміт
ет,ет
відхилив,відхилив
цю,цей
поправку,поправка
ГОЛОВУЮЧИЙ,головуючий
Шановні,шановний
колеги,колега
ставиться,ставиться
на,на
голосування,голосування
поправка,поправка
17,17
народного,народний
депутата,депутат
Бондаря,бондар
Комітет,комітет
пропонує,пропонувати
її,вона
відхи,відх
лити,лити
Прошу,прош
визначатися,визначатися
та,та
голосувати,голосуват
За,за
−,−
59,59
Рішення,рішення
не,не
прийнято,прийнято
Шановні,шановний
колеги,колега
залишилася,залишитися
1,1
хвилина,хвилина
до,до
перерви,перерва
тому,тому
є,бути
про-,про-
позиція,позиція
з,з
12,12
години,година
30,30
хвилин,хвилина
продовжити,продовжити
розглядати,розглядати
це,це
питання,питання
Прохання,прохання
не,не
запізнюватися,запізнюватися
Оголошується,оголошується
перерва,перерва
на,на
30,30
хвилин,хвилина
Продовж,продовж
имо,имо
роботу,робота
о,о
12,12
годині,година
30,30
хвилин,хвилина
41,41
Після,після
перерви,перерва
Веде,вести
засідання,засідання
Голова,голова
Верховної,верховний
Ради,рада
України,Україна
РАЗУМКО,разумко
В,в
Д,Д.
О,О.
ГОЛОВУЮЧИЙ,головуючий
Шановні,шановний
колеги,колега
повертаємос,повертаємос
я,я
до,до
розгляду,розгляд
питання,питання
Добрий,добрий
день,день
шановні,шановня
гості,гість
Верховної,верховний
Ради,рада
України,Україна
СТЕФАНЧУК,стерлна
Р,р
О,О.
Привіт,привіт
гімназі,гімназі
є,бути
Київська,київський
Русь,русь
місто,місто
Київ,Київ
Як,як
ви,ви
ГОЛОВУЮЧИЙ,головуючий
Поправка,поправка
18,18
Народний,народний
депутат,депутат
Волинець,волинець
Наполягаєте,наполягаєте
Так,так
Увімкніть,увімкніть
мікрофон,мікрофон
ВОЛИНЕЦЬ,волинець
М,М.
Я,я
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
енергетики,енергетики
та,та
житлово,житловий
комунальних,комунальний
послуг,послуга
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
Батьків,батькі
щина,щина
Шановні,шановний
колеги,колега
найперше,найперше
звертаюс,звертаюс
я,я
до,до
фракції,фракція
Слуга,слуг
народу,народ
Про,про
хання,хання
не,не
голосуйте,голосуйте
бездумно,бездумно
за,за
те,те
що,що
пропонує,пропонувати
голова,голова
комітету,комітет
Андрій,Андрій
Герус,герус
Справа,справа
в,в
тому,тому
що,що
Україна,Україна
інтегруючись,інтегруючись
в,в
європейський,європейський
простір,простір
взяла,взяти
на,на
себе,себе
зобов,зобов
’язання,’язання
з,з
1,1
січня,січень
2015,2015
року,рік
про,про
дотримання,дотримання
правил,правило
Третього,третій
енергетичного,енергетичний
пакет,пакет
а,а
і,і
згідно,згідно
з,з
угодою,угода
ввійшла,ввійти
до,до
Енергетичної,енергетичний
Спільноти,спільнота
Законопроект,законопроект
№,№
2233,2233
порушує,порушува
принципи,принцип
інтеграції,інтеграція
в,в
євро,євро
пейську,пейськ
спільноту,спільнота
Крім,крім
того,те
він,він
порушує,порушува
принципи,принцип
ринкових,ринкові
від,від
носин,носин
на,на
ринку,ринок
електроенер,електроенер
гії,гії
запроваджує,запроваджує
ручне,ручне
регулювання,регулювання
електроенергії,електроенергія
скасовує,скасовує
ринкові,ринк
механізми,механізм
ціноутворення,ціноутворення
знищує,знищує
ті,той
засади,засад
та,та
принципи,принцип
європейського,європейський
ринку,ринок
які,який
були,бути
задекларовані,задекларован
в,в
реформуванні,реформування
електроринку,електроринка
в,в
2017,2017
році,рік
У,у
Комітеті,комітеті
з,з
питань,питання
енергетики,енергетики
та,та
житлово,житловий
комунал,комунал
ьних,щно
послуг,послуга
склалася,склалася
така,такий
ситуація,ситуація
ГОЛОВУЮЧИЙ,головуючий
Додайте,додайте
10,10
секунд,секунда
42,42
ВОЛИНЕЦЬ,волинець
М,М.
Я,я
У,у
Комітеті,комітеті
з,з
питань,питання
енергетики,енергетики
та,та
житлово,житловий
комунальних,комунальний
послуг,послуга
склалася,склалася
така,такий
ситуація,ситуація
що,що
навколо,навколо
голови,голова
комітету,комітет
створилася,створилася
група,група
якій,який
приносять,приносити
незрозуміло,незрозуміло
звідки,звідки
законо,законо
проекти,проект
що,що
суперечать,суперечити
ГОЛОВУЮЧИЙ,головуючий
Андрій,Андрій
Михайлович,михайлович
ГЕРУС,герт
А,а
М,М.
Законопроект,законопроект
як,як
ий,ий
ми,ми
сьогодні,сьогодні
розглядаємо,розглядати
бул,бул
о,о
обговорено,обговорено
проведен,проведень
о,о
консультації,консультація
з,з
представниками,представник
Європейського,європейський
Союзу,союз
з,з
представниками,представник
Енергетичного,енергетичний
Співтовариства,співтовариство
Більше,більше
того,те
ті,той
поправки,поправки
які,який
ми,ми
обговорюємо,обговорювати
підтримуємо,підтримуємо
також,також
підтримані,підтриман
Енергетичним,енергетичний
Співтовариством,співтовариство
Тому,тому
це,це
абсолютно,абсолютно
в,в
дусі,дус
ринку,ринок
електроенергії,електроенергія
який,який
запро,запро
ваджен,ваджен
о,о
з,з
1,1
липня,липень
Але,але
поправку,поправка
18,18
комітет,комітет
не,не
підтримав,підтрима
ГОЛОВУЮЧИЙ,головуючий
Наполягаєте,наполягаєте
на,на
поправці,поправець
Ставлю,ставля
на,на
голосув,голосува
ання,ання
п,п.
оправку,оправка
18,18
народного,народний
депутата,депутат
Волинця,волинця
Комітет,комітет
її,вона
не,не
підтримав,підтрима
Прошу,прош
визначатис,визначатис
я,я
та,та
голосувати,голосуват
За,за
−,−
48,48
Рішення,рішення
не,не
прийнято,прийнято
Поправка,поправка
19,19
Гриб,гриб
Наполягаєте,наполягаєте
Увімкніть,увімкніть
будь,бути
ласка,ласка
мікрофон,мікрофон
ГРИБ,грія
В,в
О,О.
Дмитр,дмитр
е,е
Олександрович,олександрович
у,у
у,у
мене,я
декілька,декілька
поправ,поправ
ок,ок
Дасте,дасте
трохи,трохи
більше,більше
часу,час
для,для
того,те
щоб,щоб
я,я
потім,потім
не,не
наполягала,наполягала
Добре,добре
ГОЛОВУЮЧИЙ,головуючий
Надайте,надайте
ще,ще
д,д.
одаткову,одаткова
хвилину,хвилина
будь,бути
ласка,ласка
ГРИБ,грія
В,в
О,О.
Дякую,дякувати
Шановні,шановний
колеги,колега
я,я
бачу,бачити
тенденція,тенденція
така,такий
що,що
закон,закон
опроект,опроект
буде,бути
сьогодні,сьогодні
прийнят,прийнят
о,о
Але,але
я,я
хотіла,хотіти
б,б
запропонувати,запропонувати
єдину,єдиний
річ,річ
Давайте,давайте
ми,ми
у,у
Верховній,верховній
Раді,раді
створимо,створимо
такий,такий
механізм,механізм
за,за
яким,який
під,під
час,час
розроб,розроб
ки,ки
законопроектів,законопроект
будемо,бути
відразу,відразу
проводити,проводити
аналіз,аналіз
наслідків,наслідок
так,так
званий,званий
Impact,Impact
Assessment,Assessment
Наслідки,наслідок
прийняття,прийняття
цього,цей
закон,закон
опроект,опроект
у,у
будуть,бути
руйнівн,руйнівн
ими,вма
для,для
вітчизняної,вітчизняний
енергет,енергет
ики,ики
і,і
теплоенергетик,теплоенергетик
и,и
і,і
атомн,атомн
ої,ої
енергетик,енергетик
и,и
Коли,коли
ми,ми
побачимо,побачити
що,що
у,у
вугільній,вугільнія
галузі,галузь
теплоенергетиці,теплоенергетиця
атомній,атомнія
енер,енер
гетиці,гетиці
скорочуються,скорочуються
робочі,робоча
місця,місце
коли,коли
люди,людина
ставати,стават
муть,муть
на,на
біржу,бір
43,43
праці,праця
і,і
їм,вони
треба,треба
буде,бути
сплачувати,сплачувати
заробітну,заробітно
плату,плата
а,а
її,вона
не,не
буде,бути
де,де
брати,брати
бо,бо
це,це
не,не
передбачено,передбачено
нашим,наш
бюджетом,бюджет
то,то
що,що
ми,ми
тоді,тоді
будемо,бути
робити,робити
Це,це
будуть,бути
просто,просто
міста,місто
привиди,привиди
Я,я
не,не
кажу,казати
що,що
це,це
буде,бути
завтра,завтра
але,але
це,це
тенденція,тенденція
до,до
якої,який
ми,ми
й,й
демо,демо
і,і
дуже,дуже
сподіваюся,сподіваюся
що,що
ми,ми
це,це
робимо,робити
не,не
навмисно,навмисно
а,а
лише,лише
тому,тому
що,що
на,на
сьогодні,сьогодні
не,не
розуміємо,розуміємо
Але,але
давайте,давати
все,все
таки,таки
робити,робити
такий,такий
аналіз,аналіз
Ще,ще
раз,раз
хочу,хотіти
з,з
вернути,вернута
увагу,увага
і,і
прошу,просити
вас,ви
сьогодні,сьогодні
все,все
таки,таки
не,не
голосувати,голосуват
за,за
цей,цей
законопроект,законопроект
тому,тому
що,що
його,його
можна,можна
ще,ще
доробляти,доробля
доробляти,доробля
і,і
доробляти,доробля
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Поправка,поправка
20,20
Бондар,бондар
Наполягаєте,наполягаєте
ГЕРУС,герт
А,а
М,М.
Комітет,комітет
не,не
підтримав,підтрима
ц,ц
ієї,ієя
по,по
правк,правк
и,и
Що,що
стосується,стосуватися
енергетики,енергетики
загалом,загалом
то,то
цим,цей
законопроектом,законопроект
ми,ми
даємо,давати
можливість,можливість
Енергоатому,енергоатий
продавати,продавати
електроенергію,електроенергія
в,в
розмірі,розмір
15,15
відсотків,відсоток
на,на
вільному,вільне
ринку,ринок
Тобто,тобто
Енергоатом,Енергоатом
отримає,отримая
більше,більше
грошей,гроші
зможе,змогти
підвищити,підвищит
заробітн,заробітн
у,у
плат,плат
у,у
своїм,свій
працівникам,працівник
Ми,ми
забороняємо,забороня
дво,дво
сторонні,сторонній
контракти,контракт
щодо,щодо
імпорту,імпорт
і,і
даємо,давати
право,право
регулятору,регулятор
заборо,заборо
няти,няти
будь,бути
-який,-який
імпорт,імпорт
у,у
разі,раз
потреби,потреби
Цей,цей
законопроект,законопроект
і,і
відповідні,відповідні
поправки,поправки
були,бути
підтримані,підтриман
Енергетичним,енергетичний
Співтовариством,співтовариство
тому,тому
не,не
потріб,потріб
но,но
розповсюджувати,розповсюджувати
неправдиву,неправдив
інформацію,інформація
Поправку,поправка
про,про
яку,який
йшла,йти
мова,мова
комітет,комітет
відхилив,відхилив
ГОЛОВУЮЧИЙ,головуючий
Ви,ви
наполягаєте,наполягаєте
на,на
голосуванні,голосування
Шум,шум
у,у
залі,зал
Колеги,Колеги
створювати,створювати
тут,тут
дебати,дебат
ми,ми
не,не
будемо,бути
вибач,вибач
те,те
Поправка,поправка
20,20
Бондар,бондар
БОНДАР,бондар
М,М.
Л,л
Шановні,шановний
колеги,колега
на,на
підтримку,підтримка
своїх,свій
колег,колега
які,який
виступали,виступали
проти,проти
прийняття,прийняття
закон,закон
опроекту,опроект
№,№
2233,2233
я,я
буду,бути
пропону,пропона
вати,вата
щоб,щоб
ви,ви
пане,пане
головуючий,головуючий
поставили,поставити
на,на
голосування,голосування
пропозицію,пропозиція
направити,направит
цей,цей
законопроект,законопроект
на,на
доопрацювання,доопрацювання
А,а
поправ,поправ
ку,ку
будь,бути
ласка,ласка
поставте,поставте
для,для
підтвердження,підтвердження
44,44
ГОЛОВУЮЧИЙ,головуючий
Поправка,поправка
20,20
народного,народний
депутата,депутат
Бондаря,бондар
Комітет,комітет
її,вона
не,не
підтримав,підтрима
Прошу,прош
визначатис,визначатис
я,я
та,та
голосувати,голосуват
За,за
−,−
54,54
Рішення,рішення
не,не
прийнято,прийнято
Поправка,поправка
22,22
Мороз,мороз
Наполягаєте,наполягаєте
МОРОЗ,мороз
В,в
В,в
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
енергетик,енергетик
и,и
та,та
житлово,житловий
комунальних,комунальний
послуг,послуга
одно,одно
мандатний,мандатний
виборчий,виборчий
округ,окр
№,№
59,59
Донецька,донецький
область,область
політична,політична
партія,партія
Опозиційна,опозиційна
платформа,платформа
За,за
життя,життя
Наполягаю,наполяга
ГОЛОВУЮЧИЙ,головуючий
Увімкніть,увімкніть
будь,бути
ласка,ласка
мікрофон,мікрофон
МОРОЗ,мороз
В,в
В,в
Добр,добр
ий,ий
день,день
Я,я
хочу,хотіти
ще,ще
раз,раз
сказати,сказати
що,що
на,на
сього,се
дні,день
деяк,деяк
і,і
когенераційні,когенераційн
станці,станець
ї,ї
зовсім,зовсім
не,не
мають,мати
змоги,змога
отри,отри
мувати,мувати
вугілля,вугілля
марки,марки
А,а
і,і
змушені,змушений
перейти,перейти
до,до
газово,газово
ї,ї
складової,складова
Тому,тому
ми,ми
повинні,повинний
якось,якось
компенсувати,компенсувати
включити,включит
компенсатори,компенсатори
цим,цей
виробникам,виробник
які,який
працюють,працювати
на,на
газ,газ
і,і
Тобто,тобто
я,я
гово,гово
рю,рю
або,або
ми,ми
розбло,розбло
ковуєм,ковув
о,о
вугілля,вугілля
марки,марки
А,а
і,і
воно,воно
має,мати
прийти,прийти
до,до
нас,ми
або,або
ми,ми
повинні,повинний
підтримати,підтримати
виробника,виробник
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Позиція,позиція
комітету,комітет
ГЕРУС,герт
А,а
М,М.
Комітет,комітет
цю,цей
поправку,поправка
відхилив,відхилив
тому,тому
що,що
на,на
сьогодні,сьогодні
у,у
Кабінет,кабінет
у,у
Міністрів,міністр
є,бути
право,право
покладати,покладат
спеціальні,спеціальний
обов,обов
’язки,’язок
і,і
таким,такий
чино,чино
м,м
вирішувати,вирішуват
ситуацію,ситуація
в,в
якихось,якийсь
окремих,окремий
випадках,випадок
Стосовно,стосовно
того,те
що,що
потрібно,потрібно
відновити,відновити
постачання,постачання
вугілля,вугілля
марки,марки
А,а
ми,ми
повністю,повністю
підтримуємо,підтримуємо
і,і
писали,писати
відповідні,відповідні
листи,лист
на,на
Кабінет,кабінет
Міністрів,міністр
Але,але
тут,тут
маємо,мати
розуміти,розуміти
що,що
це,це
вугілля,вугілля
іде,іти
з,з
Російської,російський
Федерації,федерація
на,на
Луганську,луганська
ТЕС,ТЕС
тому,тому
там,там
складні,складний
політичні,політичний
перемовини,перемовини
Сподіваюся,сподіваюся
що,що
вони,вони
чимось,щось
закінчаться,закінчитися
ГОЛОВУЮЧИЙ,головуючий
Наполягаєте,наполягаєте
на,на
голосуванні,голосування
Ставлю,ставля
на,на
голосування,голосування
п,п.
оправку,оправка
22,22
народного,народний
депутата,депутат
Мороза,мороза
Комітет,комітет
її,вона
не,не
підтримав,підтрима
Прошу,прош
визначатис,визначатис
я,я
та,та
голосувати,голосуват
За,за
−,−
55,55
Рішення,рішення
не,не
прийнято,прийнято
45,45
Поправка,поправка
24,24
Бондар,бондар
Не,не
наполягає,наполягати
Поправка,поправка
25,25
Гончаренко,гончаренко
Не,не
наполягає,наполягати
Шановні,шановний
колеги,колега
ми,ми
пройшлис,пройшлис
я,я
за,за
всіма,весь
по,по
правкам,правка
и,и
Перехо,перехо
димо,димо
до,до
голосування,голосування
Будь,бути
ласка,ласка
підготуйтес,підготуйтес
я,я
до,до
голосування,голосування
Ставлю,ставля
на,на
голосування,голосування
пропо,пропо
зицію,зиція
про,про
прийняття,прийняття
в,в
другому,другий
читанні,читання
та,та
в,в
цілому,ціле
з,з
необхідними,необхідний
техніко,техніко
юридичними,юридична
правками,правка
проект,проект
у,у
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
Закону,закон
України,Україна
Про,про
ринок,ринок
електричної,електрична
енергії,енергія
№,№
2233,2233
Шум,шум
у,у
залі,зал
У,у
мене,я
немає,немати
такого,такий
Ні,ні
у,у
мене,я
те,те
що,що
написано,написати
у,у
висновк,висновк
у,у
комітету,комітет
шановні,шановня
колеги,колега
Шум,шум
у,у
залі,зал
Готові,готові
голосувати,голосуват
Прошу,прош
підтримати,підтримати
та,та
проголосувати,проголосувати
За,за
−,−
274,274
Рішення,рішення
прийнято,прийнято
Покажіть,покажіть
по,по
фракція,фракція
х,х
і,і
групах,група
будь,бути
ласка,ласка
Слуга,слуг
народу,народ
−,−
233,233
Опозиційна,опозиційна
платформа,платформа
−,−
За,за
життя,життя
10,10
Європейська,європейська
солідарніс,солідарніс
ть,ть
−,−
0,0
Батьківщина,батьківщина
0,0
За,за
майбутнє,майбутнє
17,17
Голос,голос
0,0
позафракційні,позафракційня
14,14
Шановні,шановний
колеги,колега
у,у
нас,ми
ще,ще
раз,раз
відбулася,відбутися
визначна,визначна
подія,подія
новий,новий
рекорд,рекорд
кнопкодавства,кнопкодавство
дев’ять,дев’ять
разів,раз
За,за
інформацією,інформація
ЗМІ,ЗМІ
це,це
народний,народний
депутат,депутат
Кальцев,кальцев
Володимир,Володимир
Федорови,федорова
ч,ч.
Опозиційна,опозиційна
платформа,платформа
За,за
життя,життя
Шановні,шановний
колеги,колега
я,я
все,все
розумію,розуміти
але,але
дев’ять,дев’ять
разів,раз
це,це
навіть,навіть
не,не
випадково,випадково
якщо,якщо
вірити,вірити
ЗМІ,ЗМІ
Шум,шум
у,у
залі,зал
Два,два
Нехай,нехай
це,це
буде,бути
останній,останній
рекорд,рекорд
у,у
цій,цей
Верховній,верховній
Раді,раді
шановні,шановня
колеги,колега
Шум,шум
у,у
залі,зал
Давайте,давайте
встанов,встанов
имо,имо
з,з
акон,акон
ом,ом
к,к
римінальн,римінальни
у,у
відповідальність,відповідальність
Підтримаєте,підтримаєте
Шум,шум
у,у
залі,зал
Я,я
точно,точно
за,за
Нас,ми
з,з
вами,ви
уже,уже
троє,троє
так,так
Дякую,дякувати
До,до
регламентного,регламентний
комітету,комітет
звернувся,звернувся
Руслан,руслан
Олексійович,олексійович
Стефанчук,стефанчук
щодо,щодо
цього,цей
випадку,випадок
Дякую,дякувати
ЗМІ,ЗМІ
за,за
таку,такий
пильну,пильну
якісну,якісний
роботу,робота
–––––––––,––––––
Шановні,шановний
колеги,колега
на,на
ваш,ваш
розгляд,розгляд
пропонується,пропонується
проект,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
деяких,деякий
законодавчих,законодавчий
актів,акт
України,Україна
що,що
регулю,регуля
ють,ють
питання,питання
трансплантації,трансплантація
анатомічних,анатомічний
матеріалів,матеріал
людині,людина
№,№
2457,2457
46,46
Пропонується,пропонується
розглянути,розглянути
законопроект,законопроект
за,за
скороченою,скорочена
проце,проце
дурою,дура
Прошу,прош
підтримати,підтримати
та,та
проголосувати,проголосувати
За,за
−,−
260,260
Рішення,рішення
прийнято,прийнято
Слово,слово
для,для
доповіді,доповід
надається,надаватися
народному,народна
депутату,депутат
України,Україна
Дмитрієвій,дмитрієва
Оксані,оксан
Олександрівні,олександрівня
ДМИТРІЄВА,дмитробе
О,О.
О,О.
заступник,заступник
голови,голова
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
здоров’я,здоров’я
нації,нація
медич,медич
ної,вона
допомоги,допомога
та,та
медичного,медичний
страхування,страхування
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Слуга,слуг
народу,народ
Шановні,шановний
народні,народний
депутати,депутат
виборці,виборець
Почну,почна
з,з
цифр,цифра
За,за
всі,весь
роки,рік
незалежності,незалежність
України,Україна
було,бути
про,про
ведено,ведено
менше,менше
2,2
5,5
тисяч,тисяча
і,і
трансплантацій,трансплантація
за,за
потреб,потреба
и,и
5,5
тисяч,тисяча
на,на
рік,рік
Уявіть,уявіть
собі,себе
щороку,щороку
5,5
тисяч,тисяча
людей,людина
в,в
Україні,Україна
потребують,потребують
трансплан,трансплан
тації,тація
Хтось,хтось
чекає,чекати
на,на
пересадку,пересадка
нирки,нирка
чи,чи
печінки,печінка
комусь,хтось
